Date,Open,High,Low,Close,SMA50,SMA200,SPY_Open
9/20/2007,1218.949951,1225.109985,1214.060059,1217.339966,1189.827002,1131.014849,153.339996
9/21/2007,1224.170044,1229.23999,1223.189941,1223.72998,1189.658601,1131.480755,152.710007
9/24/2007,1226.300049,1229.780029,1212.959961,1217.030029,1189.361401,1132.042715,152.419998
9/25/2007,1213.369995,1229.640015,1212.97998,1229.640015,1189.384602,1132.683267,150.809998
9/26/2007,1236.060059,1240.300049,1228.050049,1232.329956,1189.109402,1133.405227,152.25
9/27/2007,1240.170044,1242.150024,1235.719971,1237.439941,1189.109402,1134.147337,152.910004
9/28/2007,1240.900024,1244.280029,1234.699951,1238.849976,1188.720801,1134.890201,152.850006
10/1/2007,1239.829956,1256.829956,1239.829956,1254.339966,1188.958999,1135.737689,152.600006
10/2/2007,1253.699951,1256.109985,1246.98999,1255.859985,1189.249199,1136.60201,154.610001
10/3/2007,1252.530029,1254.170044,1240.560059,1246.75,1189.690598,1137.33387,153.809998
10/4/2007,1247.969971,1249,1239.180054,1246.859985,1190.042798,1138.046784,154.110001
10/5/2007,1254.319946,1270.900024,1251.150024,1268.51001,1191.304199,1138.921206,155.029999
10/8/2007,1267.51001,1277.819946,1263.5,1277.819946,1193.178198,1139.87588,155.389999
10/9/2007,1276.180054,1276.390015,1266.099976,1275.25,1194.712397,1140.82593,155.600006
10/10/2007,1274.75,1279.959961,1269.209961,1279.51001,1196.826396,1141.837488,156.039993
10/11/2007,1285.329956,1286.410034,1249.01001,1255.819946,1198.313596,1142.787086,156.929993
10/12/2007,1273.050049,1287.619995,1269.140015,1287.22998,1200.275596,1143.870905,155.460007
10/15/2007,1285.819946,1286.130005,1268.780029,1276.319946,1202.763394,1144.862764,156.270004
10/16/2007,1260.849976,1270.609985,1258.579956,1261.060059,1204.590596,1145.792111,154.410004
10/17/2007,1283.030029,1283.859985,1262.050049,1279.670044,1206.767397,1146.834021,154.979996
10/18/2007,1277.369995,1296.51001,1274.660034,1293.599976,1208.729597,1147.92794,153.449997
10/19/2007,1290.160034,1290.160034,1254.189941,1254.199951,1210.440796,1148.717488,153.089996
10/22/2007,1248.27002,1271.01001,1245.01001,1270.550049,1212.566997,1149.620101,148.860001
10/23/2007,1271.420044,1291.859985,1270.199951,1291.859985,1215.085198,1150.617187,151.460007
10/24/2007,1272.119995,1273.160034,1238.089966,1263.449951,1217.452598,1151.456835,151.210007
10/25/2007,1264.380005,1264.380005,1233.02002,1242.560059,1219.840999,1152.119649,151.649994
10/26/2007,1260.27002,1261.959961,1245.079956,1255.859985,1222.657798,1152.806483,153.059998
10/29/2007,1260.660034,1268.97998,1255.589966,1265.23999,1225.118997,1153.523518,153.929993
10/30/2007,1261.709961,1271.939941,1258.439941,1266.209961,1227.455395,1154.291206,153.449997
10/31/2007,1272.680054,1282.359985,1259.069946,1282.359985,1230.026594,1155.187136,153.979996
11/1/2007,1273.5,1276.599976,1256.810059,1256.97998,1231.753794,1156.126483,153.289993
11/2/2007,1267.290039,1273.140015,1253.560059,1270.630005,1233.851194,1157.119649,151.529999
11/5/2007,1258.449951,1271.599976,1250.530029,1262.680054,1235.546995,1158.12794,149.639999
11/6/2007,1263.449951,1265.349976,1248.030029,1262.339966,1237.406594,1159.132915,150.860001
11/7/2007,1252.23999,1259.72998,1235.670044,1236.069946,1239.297993,1159.881859,150.440002
11/8/2007,1232,1232.170044,1176.540039,1198.280029,1239.810393,1160.507789,147.990005
11/9/2007,1177.530029,1189.280029,1167.76001,1169.160034,1239.654795,1160.978644,145.690002
11/12/2007,1164.910034,1171.670044,1140.47998,1140.47998,1238.606194,1161.315176,145.210007
11/13/2007,1154.209961,1181.609985,1154.209961,1181.609985,1237.947393,1161.83593,145.369995
11/14/2007,1192.800049,1192.800049,1160.699951,1163.75,1237.184192,1162.264171,149.220001
11/15/2007,1157.939941,1164.819946,1143.209961,1151.569946,1236.098391,1162.609196,146.570007
11/16/2007,1157.050049,1165.640015,1141.349976,1163.969971,1235.79739,1162.984774,146.309998
